Taxon	16S rRNA Gene Sequence Accession ^
Leptospira adleri Thibeaux et al. 2020	MK688976.1
Leptospira alexanderi Brenner et al. 1999	AY631880.1
Leptospira alstonii Smythe et al. 2013	AY631881.1
"Leptospira andamana" Tripathy et al. 1971	
Leptospira andrefontaineae Vincent et al. 2020	MN062722.1
Leptospira bandrabouensis Vincent et al. 2020	MN062727.1
Leptospira barantonii Thibeaux et al. 2020	MK791625.1
Leptospira biflexa (Wolbach and Binger 1914) Noguchi 1918 (Approved Lists 1980)	AY631876.1
Leptospira borgpetersenii Yasuda et al. 1987	AY887899.1
Leptospira bourretii Vincent et al. 2020	MN061027.1
Leptospira bouyouniensis Vincent et al. 2020	MN061028.1
Leptospira brenneri Thibeaux et al. 2020	MK791639.1
"Leptospira brihuegai" Grune Loffler et al. 2015	
Leptospira broomii Levett et al. 2006	AY796065.1
Leptospira congkakensis Vincent et al. 2020	MN061030.1
Leptospira dzianensis Vincent et al. 2020	
Leptospira dzoumogneensis Vincent et al. 2020	MN060997.1
Leptospira ellinghausenii Masuzawa et al. 2019	MN061031.1
Leptospira ellisii Thibeaux et al. 2020	MK757997.1
Leptospira fainei Perolat et al. 1998	AY631885.1
Leptospira fletcheri Vincent et al. 2020	MN060998.1
Leptospira fluminis Vincent et al 2020	
Leptospira gomenensis Vincent et al. 2020	MN060987.1
Leptospira haakeii Thibeaux et al. 2020	MK791632.1
Leptospira harrisiae Thibeaux et al. 2020	MK791640.1
Leptospira hartskeerlii Thibeaux et al. 2020	MK791631.1
"Leptospira icteroides" Noguchi 1919	
Leptospira idonii Saito et al. 2013	AB721966.1
"Leptospira illini" Tripathy and Hanson 1972	
Leptospira ilyithenensis Vincent et al. 2020	MN086350.1
Leptospira inadai Yasuda et al. 1987	Z21634.1
Leptospira interrogans (Stimson 1907) Wenyon 1926 (Approved Lists 1980)	Z12817.1
Leptospira jelokensis Vincent et al. 2020	MN062728.1
Leptospira johnsonii Masuzawa et al. 2019	LC196061.1
Leptospira kanakyensis Vincent et al. 2020	MN061032.1
Leptospira kemamanensis Vincent et al. 2020	MN062726.1
Leptospira kirschneri Ramadass et al. 1992	FJ154546.1
Leptospira kmetyi Slack et al. 2009	AB279549.1
Leptospira kobayashii Vincent et al. 2020	LC196071.1
Leptospira koniamboensis Vincent et al. 2020	
Leptospira koniambonensis corrig. Vincent et al. 2020	MN061003.1
Leptospira langatensis Vincent et al. 2020	MN061020.1
Leptospira levettii Thibeaux et al. 2020	MK791641.1
Leptospira licerasiae Matthias et al. 2009	EF612284.1
"Leptospira macculloughii" Thibeaux et al. 2018	
Leptospira mayottensis Bourhy et al. 2014	KJ847187.1
Leptospira meyeri Yasuda et al. 1987	AY631878.1
Leptospira montravelensis Vincent et al. 2020	MN062731.1
Leptospira mtsangambouensis Vincent et al. 2020	MN062733.1
Leptospira neocaledonica Thibeaux et al. 2020	CH365_19815
Leptospira noguchii Yasuda et al. 1987	MK726126.1
Leptospira noumeaensis Vincent et al. 2020	MN062729.1
Leptospira ognonensis Vincent et al. 2020	MN082575.1
Turneriella Leptospira parva Hovind-Hougen et al. 1982	
Leptospira perdikensis Vincent et al. 2020	MN086353.1
Leptospira perolatii Thibeaux et al. 2020	CH373_18475
Leptospira putramalaysiae Vincent et al. 2020	
Leptospira ryugenii Masuzawa et al. 2019	LC196104.1
Leptospira saintgironsiae Thibeaux et al. 2020	CH362_19045
Leptospira santarosai Yasuda et al. 1987	AY461889.1
Leptospira sarikeiensis Vincent et al. 2020	MN062730.1
Leptospira selangorensis Vincent et al. 2020	EHO58_01615
Leptospira semungkisensis Vincent et al. 2020	MN061023.1
Leptospira stimsonii Casanovas-Massana et al. 2020	MK070914.1
Leptospira terpstrae Smythe et al. 2013	AY631888.1
Leptospira tipperaryensis Vincent et al. 2020	MN062723.1
Leptospira vanthielii Smythe et al. 2013	AY631897.1
Leptospira venezuelensis Puche et al. 2018	MK688379.1
Leptospira weilii Yasuda et al. 1987	AY631877.1
Leptospira wolbachii Yasuda et al. 1987	AY631879.1
Leptospira wolffii Slack et al. 2008	EF025496.1
Leptospira yanagawae Smythe et al. 2013	AY631882.1
Leptospira yasudae Casanovas-Massana et al. 2020	MK070913.1
	
Leptospira abararensis Korba et al. 2021	MZ048031.1
Leptospira ainazelensis Korba et al. 2021	MZ048033.1
Leptospira ainlahdjerensis Korba et al. 2021	MZ048034.1
Leptospira chreensis Korba et al. 2021	MZ048032.1
	
Leptospira sanjuanensis Fernandes et al. 2022	OM948786.1
	
Leptospira cinconiae Hamond et al. 2025	PQ066384.1
Leptospira gorisiae Hamond et al. 2025	PQ066385.1
Leptospira iowaensis Hamond et al. 2025	PQ066386.1
Leptospira mgodei Hamond et al. 2025	PQ066387.1
Leptospira milleri Hamond et al. 2025	PQ066388.1
	
